epochs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
acc,0.30851063829787234,0.36357947434292864,0.34730913642052563,0.3541927409261577,0.36107634543178974,0.37797246558197745,0.36576971214017523,0.3617021276595745,0.35857321652065083,0.3494993742177722,0.3648310387984981,0.3479349186483104,0.3588861076345432,0.3620150187734668,0.3613892365456821,0.34918648310387984,0.3469962453066333,0.3520025031289111,0.350125156445557,0.3620150187734668,0.3494993742177722,0.3460575719649562,0.3642052565707134,0.3579474342928661,0.3588861076345432,0.35857321652065083,0.350125156445557,0.3526282853566959,0.35826032540675845,0.3523153942428035
0,0.43243243243243246,0.4864864864864865,0.5135135135135135,0.4594594594594595,0.5675675675675675,0.5675675675675675,0.5675675675675675,0.40540540540540543,0.4864864864864865,0.32432432432432434,0.40540540540540543,0.4594594594594595,0.35135135135135137,0.4594594594594595,0.4864864864864865,0.5135135135135135,0.5405405405405406,0.5135135135135135,0.4594594594594595,0.4594594594594595,0.5675675675675675,0.4594594594594595,0.32432432432432434,0.5675675675675675,0.4864864864864865,0.43243243243243246,0.5405405405405406,0.4864864864864865,0.5945945945945946,0.5135135135135135
1,0.05405405405405406,0.2702702702702703,0.40540540540540543,0.24324324324324326,0.16216216216216217,0.13513513513513514,0.32432432432432434,0.2702702702702703,0.21621621621621623,0.2702702702702703,0.24324324324324326,0.21621621621621623,0.35135135135135137,0.2702702702702703,0.32432432432432434,0.21621621621621623,0.32432432432432434,0.2972972972972973,0.2972972972972973,0.43243243243243246,0.2972972972972973,0.32432432432432434,0.2972972972972973,0.32432432432432434,0.2702702702702703,0.35135135135135137,0.32432432432432434,0.24324324324324326,0.2702702702702703,0.2702702702702703
2,0.4375,0.5,0.5625,0.40625,0.1875,0.3125,0.40625,0.59375,0.28125,0.46875,0.1875,0.28125,0.4375,0.375,0.5,0.28125,0.40625,0.46875,0.46875,0.59375,0.28125,0.1875,0.375,0.375,0.4375,0.5625,0.4375,0.28125,0.3125,0.3125
3,0.41025641025641024,0.38461538461538464,0.41025641025641024,0.358974358974359,0.48717948717948717,0.38461538461538464,0.46153846153846156,0.6153846153846154,0.4358974358974359,0.5897435897435898,0.358974358974359,0.3333333333333333,0.38461538461538464,0.4358974358974359,0.4358974358974359,0.41025641025641024,0.4358974358974359,0.5128205128205128,0.4358974358974359,0.358974358974359,0.3333333333333333,0.4358974358974359,0.41025641025641024,0.41025641025641024,0.38461538461538464,0.4358974358974359,0.4358974358974359,0.5128205128205128,0.38461538461538464,0.41025641025641024
4,0.21666666666666667,0.2833333333333333,0.25,0.45,0.25,0.2,0.35,0.43333333333333335,0.3,0.4666666666666667,0.45,0.2833333333333333,0.25,0.5,0.2833333333333333,0.3333333333333333,0.35,0.31666666666666665,0.4,0.38333333333333336,0.31666666666666665,0.2833333333333333,0.38333333333333336,0.36666666666666664,0.2833333333333333,0.35,0.36666666666666664,0.36666666666666664,0.4166666666666667,0.4
5,0.5952380952380952,0.40476190476190477,0.35714285714285715,0.5,0.38095238095238093,0.6666666666666666,0.47619047619047616,0.2857142857142857,0.38095238095238093,0.3333333333333333,0.5714285714285714,0.47619047619047616,0.38095238095238093,0.35714285714285715,0.42857142857142855,0.40476190476190477,0.38095238095238093,0.38095238095238093,0.5,0.35714285714285715,0.47619047619047616,0.47619047619047616,0.35714285714285715,0.5,0.38095238095238093,0.4523809523809524,0.40476190476190477,0.5476190476190477,0.38095238095238093,0.5
6,0.6578947368421053,0.6052631578947368,0.6578947368421053,0.6578947368421053,0.6578947368421053,0.631578947368421,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6578947368421053,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.631578947368421,0.631578947368421,0.631578947368421,0.6578947368421053,0.6578947368421053,0.6052631578947368,0.5789473684210527,0.631578947368421,0.6052631578947368,0.6578947368421053,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6052631578947368
7,0.49122807017543857,0.5789473684210527,0.3684210526315789,0.5614035087719298,0.6140350877192983,0.5614035087719298,0.49122807017543857,0.5789473684210527,0.543859649122807,0.5964912280701754,0.5964912280701754,0.6140350877192983,0.631578947368421,0.6491228070175439,0.6140350877192983,0.5964912280701754,0.5789473684210527,0.40350877192982454,0.43859649122807015,0.6842105263157895,0.631578947368421,0.631578947368421,0.631578947368421,0.6491228070175439,0.631578947368421,0.49122807017543857,0.631578947368421,0.7368421052631579,0.6666666666666666,0.5263157894736842
8,0.24242424242424243,0.24242424242424243,0.2727272727272727,0.24242424242424243,0.30303030303030304,0.3333333333333333,0.3333333333333333,0.42424242424242425,0.3333333333333333,0.30303030303030304,0.3333333333333333,0.36363636363636365,0.24242424242424243,0.42424242424242425,0.21212121212121213,0.42424242424242425,0.21212121212121213,0.3939393939393939,0.42424242424242425,0.45454545454545453,0.36363636363636365,0.30303030303030304,0.42424242424242425,0.36363636363636365,0.3939393939393939,0.3939393939393939,0.3333333333333333,0.3939393939393939,0.30303030303030304,0.42424242424242425
