epochs,acc,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,0.2772215269086358,0.4594594594594595,0.0,0.5625,0.15384615384615385,0.21666666666666667,0.5238095238095238,0.6842105263157895,0.49122807017543857,0.30303030303030304,0.6666666666666666,0.10638297872340426,0.21052631578947367,0.4696969696969697,0.32608695652173914,0.6756756756756757,0.42857142857142855,0.18604651162790697,0.10526315789473684,0.3541666666666667,0.18518518518518517,0.2413793103448276,0.05,0.78125,0.6379310344827587,0.0,0.6111111111111112,0.6176470588235294,0.5714285714285714,0.6060606060606061,0.2391304347826087,0.696969696969697,0.4782608695652174,0.21604938271604937,0.6630434782608695,0.32786885245901637,0.6904761904761905,0.2727272727272727,0.4,0.1527777777777778,0.40625,0.20512820512820512,0.3142857142857143,0.07142857142857142,0.0547945205479452,0.17543859649122806,0.15789473684210525,0.32,0.03125,0.047058823529411764,0.08368200836820083,0.0
1,0.3094493116395494,0.5135135135135135,0.3783783783783784,0.1875,0.48717948717948717,0.18333333333333332,0.4523809523809524,0.7105263157894737,0.40350877192982454,0.36363636363636365,0.7333333333333333,0.2553191489361702,0.42105263157894735,0.22727272727272727,0.32608695652173914,0.10810810810810811,0.8285714285714286,0.09302325581395349,0.19298245614035087,0.5,0.2345679012345679,0.2413793103448276,0.15,0.6875,0.43103448275862066,0.08333333333333333,0.75,0.7352941176470589,0.10714285714285714,0.5454545454545454,0.7391304347826086,0.8787878787878788,0.6521739130434783,0.1728395061728395,0.7608695652173914,0.4918032786885246,0.6904761904761905,0.24242424242424243,0.5142857142857142,0.06944444444444445,0.34375,0.1794871794871795,0.4142857142857143,0.2857142857142857,0.0684931506849315,0.22807017543859648,0.15789473684210525,0.48,0.28125,0.12352941176470589,0.08577405857740586,0.0
2,0.3188360450563204,0.4864864864864865,0.2702702702702703,0.34375,0.5384615384615384,0.25,0.42857142857142855,0.7105263157894737,0.3684210526315789,0.45454545454545453,0.7733333333333333,0.10638297872340426,0.39473684210526316,0.13636363636363635,0.4782608695652174,0.13513513513513514,0.4857142857142857,0.20930232558139536,0.2807017543859649,0.625,0.1728395061728395,0.3620689655172414,0.13333333333333333,0.75,0.22413793103448276,0.16666666666666666,0.7777777777777778,0.6176470588235294,0.16071428571428573,0.5757575757575758,0.391304347826087,0.8787878787878788,0.5869565217391305,0.2222222222222222,0.6521739130434783,0.6557377049180327,0.8095238095238095,0.18181818181818182,0.14285714285714285,0.06944444444444445,0.375,0.15384615384615385,0.4857142857142857,0.15476190476190477,0.0684931506849315,0.22807017543859648,0.24561403508771928,0.42,0.03125,0.4176470588235294,0.12133891213389121,0.029411764705882353
3,0.3404255319148936,0.5675675675675675,0.24324324324324326,0.21875,0.46153846153846156,0.3,0.2857142857142857,0.6578947368421053,0.47368421052631576,0.42424242424242425,0.8266666666666667,0.26595744680851063,0.21052631578947367,0.22727272727272727,0.391304347826087,0.16216216216216217,0.6571428571428571,0.3488372093023256,0.22807017543859648,0.3541666666666667,0.14814814814814814,0.4827586206896552,0.2,0.59375,0.3275862068965517,0.08333333333333333,0.75,0.6470588235294118,0.42857142857142855,0.5151515151515151,0.782608695652174,0.8787878787878788,0.5,0.24691358024691357,0.8260869565217391,0.4262295081967213,0.7619047619047619,0.42424242424242425,0.17142857142857143,0.09722222222222222,0.40625,0.1794871794871795,0.5571428571428572,0.05952380952380952,0.0821917808219178,0.2631578947368421,0.3508771929824561,0.52,0.28125,0.3058823529411765,0.14644351464435146,0.029411764705882353
4,0.33448060075093866,0.4864864864864865,0.21621621621621623,0.4375,0.3333333333333333,0.2833333333333333,0.2619047619047619,0.6842105263157895,0.5263157894736842,0.48484848484848486,0.8666666666666667,0.2765957446808511,0.2894736842105263,0.2727272727272727,0.43478260869565216,0.1891891891891892,0.7714285714285715,0.2558139534883721,0.22807017543859648,0.3958333333333333,0.16049382716049382,0.46551724137931033,0.16666666666666666,0.6875,0.39655172413793105,0.027777777777777776,0.7777777777777778,0.7352941176470589,0.375,0.5757575757575758,0.5,0.8484848484848485,0.5,0.18518518518518517,0.717391304347826,0.3770491803278688,0.8095238095238095,0.21212121212121213,0.4857142857142857,0.19444444444444445,0.3125,0.3333333333333333,0.6857142857142857,0.2261904761904762,0.0821917808219178,0.2807017543859649,0.3157894736842105,0.7,0.15625,0.16470588235294117,0.09832635983263599,0.0
5,0.31821026282853565,0.43243243243243246,0.2702702702702703,0.5,0.4358974358974359,0.4,0.42857142857142855,0.7105263157894737,0.6140350877192983,0.45454545454545453,0.7466666666666667,0.3191489361702128,0.6842105263157895,0.30303030303030304,0.391304347826087,0.2702702702702703,0.6,0.32558139534883723,0.2631578947368421,0.3541666666666667,0.14814814814814814,0.39655172413793105,0.16666666666666666,0.625,0.29310344827586204,0.027777777777777776,0.75,0.6764705882352942,0.26785714285714285,0.5151515151515151,0.4782608695652174,0.8181818181818182,0.3695652173913043,0.2839506172839506,0.5652173913043478,0.4918032786885246,0.8571428571428571,0.12121212121212122,0.5142857142857142,0.05555555555555555,0.5625,0.2564102564102564,0.4,0.08333333333333333,0.0684931506849315,0.22807017543859648,0.3157894736842105,0.28,0.1875,0.14705882352941177,0.09623430962343096,0.029411764705882353
6,0.33635794743429287,0.3783783783783784,0.21621621621621623,0.46875,0.4358974358974359,0.45,0.30952380952380953,0.631578947368421,0.49122807017543857,0.48484848484848486,0.8,0.35106382978723405,0.42105263157894735,0.2878787878787879,0.45652173913043476,0.24324324324324326,0.6857142857142857,0.3023255813953488,0.21052631578947367,0.5,0.2716049382716049,0.46551724137931033,0.23333333333333334,0.71875,0.3448275862068966,0.1388888888888889,0.7777777777777778,0.6470588235294118,0.21428571428571427,0.5151515151515151,0.4782608695652174,0.9090909090909091,0.45652173913043476,0.24074074074074073,0.6521739130434783,0.4918032786885246,0.7619047619047619,0.36363636363636365,0.2,0.20833333333333334,0.53125,0.3076923076923077,0.5,0.08333333333333333,0.0821917808219178,0.24561403508771928,0.3157894736842105,0.48,0.28125,0.1411764705882353,0.12133891213389121,0.0
7,0.3541927409261577,0.43243243243243246,0.32432432432432434,0.3125,0.4358974358974359,0.2833333333333333,0.40476190476190477,0.7105263157894737,0.543859649122807,0.3939393939393939,0.8266666666666667,0.40425531914893614,0.3157894736842105,0.22727272727272727,0.4782608695652174,0.35135135135135137,0.7714285714285715,0.18604651162790697,0.22807017543859648,0.5416666666666666,0.20987654320987653,0.5689655172413793,0.23333333333333334,0.65625,0.4827586206896552,0.1111111111111111,0.7777777777777778,0.7941176470588235,0.10714285714285714,0.48484848484848486,0.5869565217391305,0.8484848484848485,0.5434782608695652,0.22839506172839505,0.7391304347826086,0.4426229508196721,0.7857142857142857,0.30303030303030304,0.22857142857142856,0.18055555555555555,0.40625,0.3333333333333333,0.5142857142857142,0.16666666666666666,0.0684931506849315,0.21052631578947367,0.2982456140350877,0.48,0.25,0.11764705882352941,0.2175732217573222,0.0
8,0.3376095118898623,0.5945945945945946,0.40540540540540543,0.6875,0.358974358974359,0.4,0.2619047619047619,0.6052631578947368,0.5087719298245614,0.48484848484848486,0.76,0.24468085106382978,0.47368421052631576,0.16666666666666666,0.45652173913043476,0.24324324324324326,0.8285714285714286,0.3023255813953488,0.2982456140350877,0.2708333333333333,0.1728395061728395,0.5172413793103449,0.21666666666666667,0.65625,0.5689655172413793,0.05555555555555555,0.75,0.5588235294117647,0.16071428571428573,0.5151515151515151,0.32608695652173914,0.8787878787878788,0.5217391304347826,0.1728395061728395,0.6630434782608695,0.5409836065573771,0.7380952380952381,0.15151515151515152,0.2857142857142857,0.2777777777777778,0.34375,0.28205128205128205,0.4857142857142857,0.047619047619047616,0.0684931506849315,0.22807017543859648,0.2982456140350877,0.6,0.25,0.2,0.17364016736401675,0.029411764705882353
9,0.34355444305381727,0.43243243243243246,0.24324324324324326,0.28125,0.41025641025641024,0.36666666666666664,0.35714285714285715,0.7105263157894737,0.49122807017543857,0.48484848484848486,0.8,0.48936170212765956,0.3157894736842105,0.19696969696969696,0.43478260869565216,0.32432432432432434,0.8571428571428571,0.32558139534883723,0.24561403508771928,0.4791666666666667,0.1728395061728395,0.5,0.2,0.71875,0.4827586206896552,0.16666666666666666,0.7777777777777778,0.7352941176470589,0.16071428571428573,0.45454545454545453,0.43478260869565216,0.9090909090909091,0.5434782608695652,0.25925925925925924,0.6195652173913043,0.5081967213114754,0.7380952380952381,0.18181818181818182,0.5714285714285714,0.06944444444444445,0.3125,0.2564102564102564,0.2571428571428571,0.09523809523809523,0.0684931506849315,0.21052631578947367,0.43859649122807015,0.52,0.21875,0.16470588235294117,0.18828451882845187,0.029411764705882353
